ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Zipcode,Acreage,SupDist,ParkID,address,city_state,lat_long,geometry,area,length,po_name,state,zip
HYDE/VALLEJO MINI PARK,Mini Park,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94109.0,0.1,3.0,146.0,Hyde,"San Francisco, CA","(37.79763564, -122.41910564)",POINT (-122.41910564 37.79763564),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
JOSEPH CONRAD MINI PARK,Mini Park,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94109.0,0.09,3.0,154.0,601 Beach St,"San Francisco, CA","(37.80667244, -122.41906274)",POINT (-122.41906274 37.80667244),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
LAFAYETTE PARK,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94109.0,11.49,2.0,128.0,Gough,"San Francisco, CA","(37.79154983, -122.42767158)",POINT (-122.42767158 37.79154983),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
RUSSIAN HILL OPEN SPACE,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94109.0,0.96,2.0,153.0,Hyde,"San Francisco, CA","(37.80341611, -122.42075699)",POINT (-122.42075699 37.80341611),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
SGT. JOHN MACAULAY PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94109.0,0.21,6.0,123.0,Larkin,"San Francisco, CA","(37.78540001, -122.41819743)",POINT (-122.41819743 37.78540001),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
SOUTH END ROWING/DOLPHIN CLUB,Concession,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94109.0,1.11,3.0,190.0,500 Jefferson St,"San Francisco, CA","(37.80796044, -122.42126376)",POINT (-122.42126376 37.80796044),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
TENDERLOIN CHILDREN'S REC CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94109.0,0.61,6.0,168.0,570 Ellis St,"San Francisco, CA","(37.78482103, -122.41540228)",POINT (-122.41540228 37.78482103),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
WASHINGTON/HYDE MINI PARK,Mini Park,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94109.0,0.15,3.0,144.0,Washington,"San Francisco, CA","(37.79400955, -122.41740007)",POINT (-122.41740007 37.79400955),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
ALLYNE PARK,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94123.0,0.75,2.0,131.0,2609 Gough St,"San Francisco, CA","(37.79746066, -122.42759992)",POINT (-122.42759992 37.79746066),31602774.7513,38751.4051836,SAN FRANCISCO,CA,94123
COW HOLLOW PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94123.0,0.15,2.0,110.0,1 Miley St,"San Francisco, CA","(37.79733829, -122.44485143)",POINT (-122.44485143 37.79733829),31602774.7513,38751.4051836,SAN FRANCISCO,CA,94123
MOSCONE RECREATION CENTER,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94123.0,12.07,2.0,132.0,1800 Chestnut St,"San Francisco, CA","(37.8021249, -122.43313532)",POINT (-122.43313532 37.8021249),31602774.7513,38751.4051836,SAN FRANCISCO,CA,94123
PALACE OF FINE ARTS,Civic Plaza or Square,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94123.0,19.37,2.0,111.0,3601 Lyon St &amp; Marina Blvd,"San Francisco, CA","(37.80299898, -122.44851272)",POINT (-122.44851272 37.80299898),31602774.7513,38751.4051836,SAN FRANCISCO,CA,94123
ALTA PLAZA,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94115.0,11.91,2.0,129.0,Jackson,"San Francisco, CA","(37.79117333, -122.43766978)",POINT (-122.43766978 37.79117333),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
BEIDEMAN/O'FARRELL MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.06,5.0,106.0,O'Farrell,"San Francisco, CA","(37.78238894, -122.43861654)",POINT (-122.43861654 37.78238894),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
BUCHANAN STREET MALL,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,1.81,5.0,121.0,Buchanan,"San Francisco, CA","(37.77949531, -122.42856481)",POINT (-122.42856481 37.77949531),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
BUSH/BRODERICK MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.18,5.0,108.0,Baker,"San Francisco, CA","(37.78557814, -122.44253511)",POINT (-122.44253511 37.78557814),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
COTTAGE ROW MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.16,5.0,127.0,Sutter,"San Francisco, CA","(37.78657099, -122.4323102)",POINT (-122.4323102 37.78657099),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
FILLMORE/TURK MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.23,5.0,182.0,Fillmore,"San Francisco, CA","(37.78018588, -122.43178038)",POINT (-122.43178038 37.78018588),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
GOLDEN GATE/STEINER MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.08,5.0,120.0,Golden Gate,"San Francisco, CA","(37.77958265, -122.43345152)",POINT (-122.43345152 37.77958265),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
HAMILTON REC CENTER,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,3.22,5.0,125.0,1900 Geary Blvd,"San Francisco, CA","(37.78441485, -122.43603929)",POINT (-122.43603929 37.78441485),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
JAPANTOWN PEACE PLAZA,Civic Plaza or Square,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.71,5.0,126.0,Post,"San Francisco, CA","(37.78520911, -122.42975098)",POINT (-122.42975098 37.78520911),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
RAYMOND KIMBELL PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94115.0,0.0,5.0,124.0,Geary Blvd,"San Francisco, CA","(37.78294403, -122.43512653)",POINT (-122.43512653 37.78294403),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
APTOS PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94127.0,4.81,7.0,65.0,Aptos,"San Francisco, CA","(37.7285246, -122.46654085)",POINT (-122.46654085 37.7285246),46522319.0828,37097.2567363,SAN FRANCISCO,CA,94127
EDGEHILL MOUNTAIN,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94127.0,2.33,7.0,71.0,Edgehill,"San Francisco, CA","(37.74203025, -122.45976472)",POINT (-122.45976472 37.74203025),46522319.0828,37097.2567363,SAN FRANCISCO,CA,94127
MIRALOMA PLAYGROUND,Neighborhood Park or Playground,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,94127.0,2.2,7.0,70.0,Omar,"San Francisco, CA","(37.73864614, -122.44931265)",POINT (-122.44931265 37.73864614),46522319.0828,37097.2567363,SAN FRANCISCO,CA,94127
SUNNYSIDE PLAYGROUND,Neighborhood Park or Playground,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,94127.0,2.37,7.0,67.0,Teresita Ave,"San Francisco, CA","(37.73366412, -122.4474787)",POINT (-122.4474787 37.73366412),46522319.0828,37097.2567363,SAN FRANCISCO,CA,94127
WEST PORTAL PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94127.0,1.91,7.0,68.0,Ulloa,"San Francisco, CA","(37.74160392, -122.46524393)",POINT (-122.46524393 37.74160392),46522319.0828,37097.2567363,SAN FRANCISCO,CA,94127
ARGONNE PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.82,1.0,97.0,18th Ave,"San Francisco, CA","(37.779415, -122.47769976)",POINT (-122.47769976 37.779415),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
BALBOA NATURAL AREA,Neighborhood Park or Playground,PSA 1,"Wayne, Lisa",lisa.wayne@sfgov.org,(415) 666-7092,94121.0,1.84,1.0,174.0,Balboa,"San Francisco, CA","(37.77591285, -122.51103949)",POINT (-122.51103949 37.77591285),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
CABRILLO PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.89,1.0,95.0,858 38th Ave,"San Francisco, CA","(37.77286672, -122.49870214)",POINT (-122.49870214 37.77286672),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
DUPONT COURTS,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.82,1.0,98.0,336 31st Ave,"San Francisco, CA","(37.78268787, -122.4908331)",POINT (-122.4908331 37.78268787),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
FULTON PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.82,1.0,96.0,855 27th Ave,"San Francisco, CA","(37.7733822, -122.48693405)",POINT (-122.48693405 37.7733822),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
LINCOLN PARK,Regional Park,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,112.03,1.0,103.0,34th Ave,"San Francisco, CA","(37.78423843, -122.49838278)",POINT (-122.49838278 37.78423843),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
RICHMOND PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.82,1.0,100.0,18th Ave,"San Francisco, CA","(37.78513017, -122.47811169)",POINT (-122.47811169 37.78513017),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
RICHMOND RECREATION CENTER,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.82,1.0,172.0,251 18th Ave,"San Francisco, CA","(37.78326998, -122.47797676)",POINT (-122.47797676 37.78326998),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
ROCHAMBEAU PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94121.0,0.83,1.0,99.0,238 25th Ave,"San Francisco, CA","(37.78483852, -122.48454408)",POINT (-122.48454408 37.78483852),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
BROADWAY TUNNEL EAST MINI PARK,Mini Park,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,0.03,3.0,204.0,BRdway,"San Francisco, CA","(37.79699682, -122.412901)",POINT (-122.412901 37.79699682),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
CHESTNUT/KEARNY OPEN SPACE,Mini Park,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,0.13,3.0,152.0,Chestnut,"San Francisco, CA","(37.80454125, -122.4070907)",POINT (-122.4070907 37.80454125),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
FAY PARK,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,0.25,3.0,184.0,2366 Leavenworth St,"San Francisco, CA","(37.80289031, -122.4178443)",POINT (-122.4178443 37.80289031),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
INA COOLBRITH MINI PARK,Mini Park,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,0.8,3.0,145.0,Vallejo,"San Francisco, CA","(37.79816473, -122.41338371)",POINT (-122.41338371 37.79816473),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
JOE DIMAGGIO PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,2.52,3.0,150.0,651 Lombard St,"San Francisco, CA","(37.80248342, -122.41206911)",POINT (-122.41206911 37.80248342),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
MICHELANGELO PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,0.44,3.0,148.0,Greenwich,"San Francisco, CA","(37.80109573, -122.41689916)",POINT (-122.41689916 37.80109573),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
WASHINGTON SQUARE,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,2.26,3.0,147.0,Filbert,"San Francisco, CA","(37.80083781, -122.41002829)",POINT (-122.41002829 37.80083781),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
WOH HEI YUEN PARK,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94133.0,0.31,3.0,170.0,922 Jackson St,"San Francisco, CA","(37.79584858, -122.41033649)",POINT (-122.41033649 37.79584858),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
BROOKS PARK,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94132.0,3.77,11.0,18.0,373 Ramsell St,"San Francisco, CA","(37.71727397, -122.46676875)",POINT (-122.46676875 37.71727397),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
BROTHERHOOD/CHESTER MINI PARK,Mini Park,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94132.0,0.59,7.0,160.0,501 Brotherhood Wy,"San Francisco, CA","(37.71238249, -122.46990318)",POINT (-122.46990318 37.71238249),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
HEAD/BROTHERHOOD MINI PARK,Mini Park,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94132.0,0.55,11.0,196.0,Head St,"San Francisco, CA","(37.71262222, -122.46422924)",POINT (-122.46422924 37.71262222),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
JUNIPERO SERRA PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94132.0,1.53,7.0,13.0,300 Stonecrest Dr,"San Francisco, CA","(37.72482337, -122.47385187)",POINT (-122.47385187 37.72482337),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
MERCED HEIGHTS PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94132.0,1.03,11.0,17.0,Byxbee,"San Francisco, CA","(37.71750931, -122.47028126)",POINT (-122.47028126 37.71750931),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
PINE LAKE PARK,Regional Park,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94132.0,30.29,4.0,82.0,Sloat Blvd,"San Francisco, CA","(37.7363086, -122.48592744)",POINT (-122.48592744 37.7363086),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
RANDOLPH/BRIGHT MINI PARK,Mini Park,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94132.0,0.09,11.0,16.0,Randolph,"San Francisco, CA","(37.71451213, -122.46369333)",POINT (-122.46369333 37.71451213),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
ROLPH NICOL PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94132.0,3.04,7.0,9.0,Eucalyptus Dr,"San Francisco, CA","(37.73060291, -122.48041933)",POINT (-122.48041933 37.73060291),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
SAN FRANCISCO ZOO,Zoological Garden,PSA 4,"Scott, Ronnie",ronnie.scott@sfgov.org,(415) 504-7923,94132.0,131.52,7.0,12.0,1 Zoo Rd,"San Francisco, CA","(37.73158916, -122.50380857)",POINT (-122.50380857 37.73158916),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
SIGMUND STERN RECREATION GROVE,Regional Park,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94132.0,33.78,4.0,83.0,19th Ave,"San Francisco, CA","(37.73608224, -122.47829786)",POINT (-122.47829786 37.73608224),112727175.099,52755.1532284,SAN FRANCISCO,CA,94132
CARL LARSEN PARK,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94116.0,6.58,4.0,86.0,19th Ave,"San Francisco, CA","(37.73929782, -122.47596603)",POINT (-122.47596603 37.73929782),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
GOLDEN GATE HEIGHTS PARK,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94116.0,6.95,7.0,89.0,12th Ave (off Pacheco,"San Francisco, CA","(37.74998538, -122.46940674)",POINT (-122.46940674 37.74998538),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
HAWK HILL,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94116.0,4.85,7.0,186.0,14th Ave Rivera,"San Francisco, CA","(37.74657651, -122.46872941)",POINT (-122.46872941 37.74657651),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
J. P. MURPHY PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94116.0,1.23,7.0,90.0,1960 9th Ave,"San Francisco, CA","(37.75180107, -122.46500011)",POINT (-122.46500011 37.75180107),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
MCCOPPIN SQUARE,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94116.0,7.24,4.0,88.0,24th,"San Francisco, CA","(37.74382723, -122.48007959)",POINT (-122.48007959 37.74382723),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
PARKSIDE SQUARE,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94132.0,8.31,4.0,84.0,28th Ave,"San Francisco, CA","(37.73794781, -122.48390596)",POINT (-122.48390596 37.73794781),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
ROCK OUTCROPPING,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94116.0,1.4,7.0,175.0,Ortega,"San Francisco, CA","(37.75384487, -122.47086479)",POINT (-122.47086479 37.75384487),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
SOUTH SUNSET PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94116.0,3.72,4.0,85.0,40th Ave,"San Francisco, CA","(37.73738679, -122.49845174)",POINT (-122.49845174 37.73738679),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
WEST SUNSET PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94116.0,17.16,4.0,91.0,3223 Ortega St &amp; 39th Ave,"San Francisco, CA","(37.74899627, -122.49800859)",POINT (-122.49800859 37.74899627),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
CHINESE RECREATION CENTER,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94108.0,0.65,3.0,140.0,1101 Washington St,"San Francisco, CA","(37.79420965, -122.41178577)",POINT (-122.41178577 37.79420965),7705084.55127,14174.1118291,SAN FRANCISCO,CA,94108
COLLIS P. HUNTINGTON PARK,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94108.0,1.07,3.0,137.0,California,"San Francisco, CA","(37.79216576, -122.41215294)",POINT (-122.41215294 37.79216576),7705084.55127,14174.1118291,SAN FRANCISCO,CA,94108
PORTSMOUTH SQUARE,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94108.0,1.29,3.0,141.0,Washington,"San Francisco, CA","(37.79483492, -122.40535067)",POINT (-122.40535067 37.79483492),7705084.55127,14174.1118291,SAN FRANCISCO,CA,94108
ST MARY'S SQUARE,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94108.0,1.11,3.0,136.0,California St,"San Francisco, CA","(37.79205617, -122.40511712)",POINT (-122.40511712 37.79205617),7705084.55127,14174.1118291,SAN FRANCISCO,CA,94108
UNION SQUARE,Civic Plaza or Square,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94108.0,2.6,3.0,135.0,Post,"San Francisco, CA","(37.78793122, -122.40750049)",POINT (-122.40750049 37.78793122),7705084.55127,14174.1118291,SAN FRANCISCO,CA,94108
CORONA HEIGHTS,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,13.38,8.0,80.0,Roosevelt,"San Francisco, CA","(37.76497671, -122.43879691)",POINT (-122.43879691 37.76497671),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
Corwin Community Garden,Community Garden,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,0.09,8.0,164221.0,410 Douglass St,"San Francisco, CA","(37.75723015, -122.43902313)",POINT (-122.43902313 37.75723015),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
EUREKA VALLEY REC CENTER,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,1.93,8.0,75.0,100 Collingwood St,"San Francisco, CA","(37.75978957, -122.43648069)",POINT (-122.43648069 37.75978957),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
KITE HILL,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,2.87,8.0,74.0,Yukon,"San Francisco, CA","(37.75824114, -122.44166171)",POINT (-122.44166171 37.75824114),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
MISSION DOLORES PARK,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,94114.0,15.94,8.0,63.0,19th,"San Francisco, CA","(37.75975506, -122.42709405)",POINT (-122.42709405 37.75975506),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
NOE VALLEY COURTS,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,0.93,8.0,72.0,24th,"San Francisco, CA","(37.75140324, -122.43892096)",POINT (-122.43892096 37.75140324),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
NOE/BEAVER COMMUNITY GARDEN,Community Garden,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,94114.0,0.11,8.0,64.0,Noe,"San Francisco, CA","(37.76491711, -122.4334455)",POINT (-122.4334455 37.76491711),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
PEIXOTTO PLAYGROUND,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,0.79,8.0,195.0,15th St,"San Francisco, CA","(37.76578838, -122.43790519)",POINT (-122.43790519 37.76578838),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
PORTOLA OPEN SPACE,Mini Park,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,94131.0,0.81,8.0,37264.0,201 Portola,"San Francisco, CA","(37.74707797, -122.44406156)",POINT (-122.44406156 37.74707797),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
ROOSEVELT/HENRY STEPS,Mini Park,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,0.34,8.0,107857.0,299 Henry St,"San Francisco, CA","(37.76655956, -122.43732268)",POINT (-122.43732268 37.76655956),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
SATURN STREET STEPS,Mini Park,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,0.1,8.0,79.0,Saturn,"San Francisco, CA","(37.7626853, -122.44055619)",POINT (-122.44055619 37.7626853),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
SEWARD MINI PARK,Mini Park,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,0.37,8.0,73.0,Seward,"San Francisco, CA","(37.75761058, -122.44006058)",POINT (-122.44006058 37.75761058),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
STATES STREET PLAYGROUND,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,94114.0,2.76,8.0,200.0,86 States St,"San Francisco, CA","(37.76380044, -122.43785312)",POINT (-122.43785312 37.76380044),40823946.739,38323.361765,SAN FRANCISCO,CA,94114
CROCKER AMAZON PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,94112.0,56.46,11.0,164.0,Moscow,"San Francisco, CA","(37.7140459, -122.42923866)",POINT (-122.42923866 37.7140459),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
HERZ PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,94134.0,6.68,10.0,137671.0,Hahn,"San Francisco, CA","(37.71348444, -122.41659732)",POINT (-122.41659732 37.71348444),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
JOHN MCLAREN PARK,Regional Park,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,94112.0,312.54,10.0,28.0,Mansell,"San Francisco, CA","(37.7180842, -122.41907209)",POINT (-122.41907209 37.7180842),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
KELLOCH VELASCO MINI PARK,Mini Park,PSA 3,"Watkins, Robert",robert.watkins@sfgov.org,(415) 819-6138,94134.0,1.74,10.0,26.0,Kelloch,"San Francisco, CA","(37.70854271, -122.41314877)",POINT (-122.41314877 37.70854271),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
